source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
silver,,,gold,gold_fallback,pk_gold_id,Indirect,Auto-generated sequential surrogate primary key starting from 1
silver,stores_silver,pk_stores_bronze_silver_id,gold,stores_gold,pk_stores_bronze_silver_id,Direct,Direct pass-through from Silver to Gold fallback view
silver,stores_silver,store_id,gold,stores_gold,store_id,Direct,Direct pass-through from Silver to Gold fallback view
silver,stores_silver,store_name,gold,stores_gold,store_name,Direct,Direct pass-through from Silver to Gold fallback view
silver,stores_silver,region,gold,stores_gold,region,Direct,Direct pass-through from Silver to Gold fallback view
silver,stores_silver,city,gold,stores_gold,city,Direct,Direct pass-through from Silver to Gold fallback view
silver,stores_silver,state,gold,stores_gold,state,Direct,Direct pass-through from Silver to Gold fallback view
silver,stores_silver,_load_timestamp,gold,stores_gold,_load_timestamp,Direct,Direct pass-through from Silver to Gold fallback view
silver,stores_silver,_source_file,gold,stores_gold,_source_file,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,pk_sales_data_bronze_silver_id,gold,sales_data_gold,pk_sales_data_bronze_silver_id,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,transaction_id,gold,sales_data_gold,transaction_id,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,transaction_date,gold,sales_data_gold,transaction_date,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,store_id,gold,sales_data_gold,store_id,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,product_id,gold,sales_data_gold,product_id,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,product_name,gold,sales_data_gold,product_name,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,category,gold,sales_data_gold,category,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,quantity,gold,sales_data_gold,quantity,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,unit_price,gold,sales_data_gold,unit_price,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,total_amount,gold,sales_data_gold,total_amount,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,customer_segment,gold,sales_data_gold,customer_segment,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,payment_method,gold,sales_data_gold,payment_method,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,_load_timestamp,gold,sales_data_gold,_load_timestamp,Direct,Direct pass-through from Silver to Gold fallback view
silver,sales_data_silver,_source_file,gold,sales_data_gold,_source_file,Direct,Direct pass-through from Silver to Gold fallback view
silver,products_silver,pk_products_bronze_silver_id,gold,products_gold,pk_products_bronze_silver_id,Direct,Direct pass-through from Silver to Gold fallback view
silver,products_silver,product_id,gold,products_gold,product_id,Direct,Direct pass-through from Silver to Gold fallback view
silver,products_silver,product_name,gold,products_gold,product_name,Direct,Direct pass-through from Silver to Gold fallback view
silver,products_silver,category,gold,products_gold,category,Direct,Direct pass-through from Silver to Gold fallback view
silver,products_silver,standard_price,gold,products_gold,standard_price,Direct,Direct pass-through from Silver to Gold fallback view
silver,products_silver,_load_timestamp,gold,products_gold,_load_timestamp,Direct,Direct pass-through from Silver to Gold fallback view
silver,products_silver,_source_file,gold,products_gold,_source_file,Direct,Direct pass-through from Silver to Gold fallback view
