source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
bronze,stores_bronze.parquet,,silver,stores_silver,pk_stores_bronze_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1
bronze,stores_bronze.parquet,store_id,silver,stores_silver,store_id,Direct,Type cast to text for id column; strip whitespace
bronze,stores_bronze.parquet,store_name,silver,stores_silver,store_name,Direct,Convert to text; strip whitespace
bronze,stores_bronze.parquet,region,silver,stores_silver,region,Direct,Convert to text; strip whitespace
bronze,stores_bronze.parquet,city,silver,stores_silver,city,Direct,Convert to text; strip whitespace
bronze,stores_bronze.parquet,state,silver,stores_silver,state,Direct,Convert to text; strip whitespace
bronze,stores_bronze.parquet,_load_timestamp,silver,stores_silver,_load_timestamp,Direct,Date standardisation to YYYY-MM-DD
bronze,stores_bronze.parquet,_source_file,silver,stores_silver,_source_file,Direct,Convert to text; strip whitespace
bronze,sales_data_bronze.parquet,,silver,sales_data_silver,pk_sales_data_bronze_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1
bronze,sales_data_bronze.parquet,transaction_id,silver,sales_data_silver,transaction_id,Direct,Type cast to text for id column; strip whitespace
bronze,sales_data_bronze.parquet,transaction_date,silver,sales_data_silver,transaction_date,Direct,Date standardisation to YYYY-MM-DD
bronze,sales_data_bronze.parquet,store_id,silver,sales_data_silver,store_id,Direct,Type cast to text for id column; strip whitespace
bronze,sales_data_bronze.parquet,product_id,silver,sales_data_silver,product_id,Direct,Type cast to text for id column; strip whitespace
bronze,sales_data_bronze.parquet,product_name,silver,sales_data_silver,product_name,Direct,Convert to text; strip whitespace
bronze,sales_data_bronze.parquet,category,silver,sales_data_silver,category,Direct,Convert to text; strip whitespace
bronze,sales_data_bronze.parquet,quantity,silver,sales_data_silver,quantity,Direct,Convert to float numeric
bronze,sales_data_bronze.parquet,unit_price,silver,sales_data_silver,unit_price,Direct,Convert to float numeric
bronze,sales_data_bronze.parquet,total_amount,silver,sales_data_silver,total_amount,Direct,Convert to float numeric
bronze,sales_data_bronze.parquet,customer_segment,silver,sales_data_silver,customer_segment,Direct,Convert to text; strip whitespace
bronze,sales_data_bronze.parquet,payment_method,silver,sales_data_silver,payment_method,Direct,Convert to text; strip whitespace
bronze,sales_data_bronze.parquet,_load_timestamp,silver,sales_data_silver,_load_timestamp,Direct,Date standardisation to YYYY-MM-DD
bronze,sales_data_bronze.parquet,_source_file,silver,sales_data_silver,_source_file,Direct,Convert to text; strip whitespace
bronze,products_bronze.parquet,,silver,products_silver,pk_products_bronze_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1
bronze,products_bronze.parquet,product_id,silver,products_silver,product_id,Direct,Type cast to text for id column; strip whitespace
bronze,products_bronze.parquet,product_name,silver,products_silver,product_name,Direct,Convert to text; strip whitespace
bronze,products_bronze.parquet,category,silver,products_silver,category,Direct,Convert to text; strip whitespace
bronze,products_bronze.parquet,standard_price,silver,products_silver,standard_price,Direct,Convert to float numeric
bronze,products_bronze.parquet,_load_timestamp,silver,products_silver,_load_timestamp,Direct,Date standardisation to YYYY-MM-DD
bronze,products_bronze.parquet,_source_file,silver,products_silver,_source_file,Direct,Convert to text; strip whitespace
